Station_Name,Station,End_Lat,End_Lon,2021_q2_count,2021_q3_count,2021_q4_count,2022_q1_count,total_count
7th & Flower,3005,34.0485,-118.258537,1742,2024,2067,1637,"7,470"
Olive & 8th,3006,34.04554,-118.256668,474,562,588,1020,"2,644"
5th & Grand,3007,34.05048,-118.254593,281,513,617,528,"1,939"
Figueroa & 9th,3008,34.046612,-118.262733,487,440,460,546,"1,933"
11th & Maple,3010,34.037048,-118.254868,120,81,119,51,371
Figueroa & Pico,3011,34.04113,-118.267982,252,153,249,181,835
Union Station West Portal,3014,34.05661,-118.237213,639,864,786,551,"2,840"
Los Angeles & Temple,3016,34.052898,-118.241562,209,157,176,144,686
Grand & Olympic,3018,34.043732,-118.260139,242,216,264,312,"1,034"
12th & Hill,3019,34.038609,-118.260857,321,355,408,274,"1,358"
Hill & Washington,3020,34.031052,-118.26709,164,109,105,70,448
3rd & Santa Fe,3022,34.04607,-118.233093,432,416,501,389,"1,738"
1st & Judge John Aiso,3023,34.050911,-118.240967,278,275,328,223,"1,104"
Hope & 1st,3024,34.05772,-118.24897,74,77,185,50,386
Grand & Washington,3025,34.03286,-118.268082,78,57,95,115,345
Figueroa & Cesar Chavez,3026,34.063179,-118.24588,190,227,344,281,"1,042"
Spring & 3rd,3027,34.04998,-118.247162,249,304,360,156,"1,069"
Grand & Temple,3028,34.058319,-118.246094,116,60,160,104,440
Main & 4th,3029,34.048851,-118.246422,145,103,66,49,363
Main & 1st,3030,34.051941,-118.24353,353,314,587,350,"1,604"
7th & Spring,3031,34.044701,-118.252441,825,840,929,1088,"3,682"
Hope & 6th,3032,34.049889,-118.255882,188,295,433,242,"1,158"
Main & 9th,3033,34.040989,-118.255798,114,95,115,83,407
Hope & 11th,3034,34.042061,-118.263382,356,528,597,399,"1,880"
Figueroa & 8th,3035,34.048401,-118.260948,991,839,1122,1514,"4,466"
Willow St & Mateo St,3036,34.039188,-118.232529,201,239,247,195,882
Imperial & 7th,3037,34.034801,-118.231277,174,187,172,128,661
Wilshire & Witmer,3040,34.05357,-118.266357,186,145,221,120,672
1st & Central,3042,34.049301,-118.238808,463,442,551,435,"1,891"
18th & San Pedro,3045,34.028511,-118.256668,129,152,232,178,691
2nd & Hill,3046,34.052872,-118.24749,126,186,241,216,769
Pico & Flower,3047,34.039982,-118.266403,380,342,345,380,"1,447"
5th & Hewitt,3048,34.041691,-118.235352,230,141,219,141,731
2nd & Figueroa,3049,34.056969,-118.253593,249,202,232,179,862
7th & Bixel,3052,34.051102,-118.264557,499,305,425,297,"1,526"
Factory Place & Alameda,3054,34.039219,-118.236488,80,104,79,90,353
Grand & 14th,3056,34.03746,-118.265381,133,193,363,219,908
18th & Figueroa,3057,34.035679,-118.270813,92,60,104,128,384
Industrial St & Mateo St,3058,34.035801,-118.23317,120,109,104,131,464
3rd & San Pedro,3062,34.047749,-118.243172,218,208,320,266,"1,012"
Pershing Square,3063,34.048038,-118.253738,507,369,551,486,"1,913"
Grand & 8th,3064,34.046131,-118.257591,562,681,867,899,"3,009"
New High & Ord,3065,34.060558,-118.238327,135,120,156,92,503
Spring & College,3066,34.063389,-118.23616,379,355,440,372,"1,546"
Grand & 3rd,3068,34.0532,-118.250954,98,159,243,149,649
Broadway & 3rd,3069,34.05088,-118.248253,542,546,675,512,"2,275"
Hope & Olympic,3074,34.04417,-118.261169,348,349,621,461,"1,779"
Broadway & 9th,3075,34.04211,-118.256187,381,406,407,438,"1,632"
9th & Los Angeles,3076,34.0406,-118.253838,335,172,131,230,868
8th & Wall,3077,34.039871,-118.250038,99,103,175,92,469
Hill & College,3078,34.064281,-118.238937,131,111,175,151,568
Temple & Vignes,3079,34.05014,-118.233192,107,71,47,103,328
Stanford & 12th,3081,34.031891,-118.250183,132,85,49,18,284
Traction & Rose,3082,34.04652,-118.237411,452,493,545,429,"1,919"
Abbot Kinney & Cadiz,4202,33.991161,-118.468292,527,534,557,414,"2,032"
Washington & Abbot Kinney,4204,33.988419,-118.45163,466,571,407,332,"1,776"
Venice & Lincoln,4205,33.993771,-118.453667,278,303,293,244,"1,118"
California & Lincoln,4206,33.998341,-118.461014,242,363,438,359,"1,402"
Rose & 7th,4207,34.000881,-118.46891,226,227,265,295,"1,013"
Rose & Rennie,4208,33.99868,-118.472977,221,204,237,184,846
Rose & Main,4209,33.996239,-118.477448,760,660,819,531,"2,770"
Ocean Front Walk & North Venice,4210,33.984341,-118.47155,2546,2287,1962,1834,"8,629"
Pacific & North Venice,4211,33.984928,-118.469963,733,689,826,624,"2,872"
Windward & Main,4212,33.988129,-118.471741,950,779,820,776,"3,325"
7th & Westminster,4213,33.995369,-118.464798,103,120,85,38,346
Ocean Front Walk & Navy,4214,33.99556,-118.481552,3088,3114,2453,2616,"11,271"
Downtown Santa Monica E Line Station,4215,34.014309,-118.491341,2922,3139,2087,2889,"11,037"
17th St / SMC E Line Station,4216,34.023392,-118.479637,669,662,336,400,"2,067"
Broadway & 11th,4217,34.04031,-118.25827,78,148,212,168,606
Park & Echo Park,4220,34.074829,-118.258728,265,291,306,286,"1,148"
Grand / LATTC,4227,34.0298,-118.270309,35,17,60,73,185
University & Hoover,4245,34.02404,-118.283409,123,337,342,495,"1,297"
32nd & Figueroa,4246,34.023708,-118.279167,168,206,235,125,734
25th & Vermont,4247,34.033642,-118.291313,148,245,170,79,642
29th & Ellendale,4248,34.028351,-118.288673,195,210,331,137,873
Figueroa & McCarthy Way,4249,34.020302,-118.281181,247,286,349,363,"1,245"
Severance & Adams,4250,34.03017,-118.280952,302,323,356,563,"1,544"
Hoover & 29th,4254,34.028679,-118.284111,131,154,206,120,611
Seabluff & Runway,4255,33.97366,-118.422859,195,162,138,121,616
28th & Figueroa,4266,34.026291,-118.277687,282,264,344,184,"1,074"
28th & University,4267,34.027618,-118.280678,141,97,121,54,413
Hoover & 32nd,4273,34.02586,-118.284103,348,556,518,594,"2,016"
Expo Park/LAFC,4275,34.01252,-118.285896,164,188,237,152,741
Metro Bike Share Free Bikes,4285,,,131,30,3,0,164
Metro Bike Share Out of Service Area Smart Bike,4286,,,12,5,0,0,17
Westlake & 3rd,4293,34.062279,-118.271523,42,39,93,57,231
Union & Olympic,4300,34.04887,-118.2743,338,273,366,182,"1,159"
Maubert & Vermont,4301,34.099049,-118.291496,108,182,240,101,631
Vermont Pl & Vermont,4302,34.092491,-118.291443,182,163,123,156,624
Sunset & Virgil,4303,34.098011,-118.287071,109,85,119,98,411
Shatto Pl & Wilshire,4304,34.06258,-118.290092,306,307,273,245,"1,131"
8th & Vermont,4306,34.057652,-118.292183,214,143,143,111,611
7th & Berendo,4311,34.059689,-118.294662,126,151,159,127,563
