Station_Name,Station,Start_Lat,Start_Lon,2021_q2_count,2021_q3_count,2021_q4_count,2022_q1_count,total_count
7th & Flower,3005,34.0485,-118.258537,1644,2022,2067,1643,"7,376"
Olive & 8th,3006,34.04554,-118.256668,472,572,588,1045,"2,677"
5th & Grand,3007,34.05048,-118.254593,327,502,617,517,"1,963"
Figueroa & 9th,3008,34.046612,-118.262733,425,420,460,532,"1,837"
11th & Maple,3010,34.037048,-118.254868,82,88,119,57,346
Figueroa & Pico,3011,34.04113,-118.267982,278,197,249,177,900
Union Station West Portal,3014,34.05661,-118.237213,603,825,786,535,"2,749"
Los Angeles & Temple,3016,34.052898,-118.241562,220,172,176,153,721
Grand & Olympic,3018,34.043732,-118.260139,267,205,264,312,"1,048"
12th & Hill,3019,34.038609,-118.260857,346,395,408,281,"1,430"
Hill & Washington,3020,34.031052,-118.26709,184,117,105,83,489
3rd & Santa Fe,3022,34.04607,-118.233093,425,411,501,437,"1,774"
1st & Judge John Aiso,3023,34.050911,-118.240967,256,230,328,208,"1,022"
Hope & 1st,3024,34.05772,-118.24897,109,127,185,107,528
Grand & Washington,3025,34.03286,-118.268082,79,57,95,92,323
Figueroa & Cesar Chavez,3026,34.063179,-118.24588,217,263,344,351,"1,175"
Spring & 3rd,3027,34.04998,-118.247162,308,333,360,209,"1,210"
Grand & Temple,3028,34.058319,-118.246094,142,79,160,154,535
Main & 4th,3029,34.048851,-118.246422,141,113,66,45,365
Main & 1st,3030,34.051941,-118.24353,456,412,587,400,"1,855"
7th & Spring,3031,34.044701,-118.252441,794,784,929,1018,"3,525"
Hope & 6th,3032,34.049889,-118.255882,196,300,433,260,"1,189"
Main & 9th,3033,34.040989,-118.255798,114,110,115,83,422
Hope & 11th,3034,34.042061,-118.263382,371,568,597,437,"1,973"
Figueroa & 8th,3035,34.048401,-118.260948,888,771,1122,1552,"4,333"
Willow St & Mateo St,3036,34.039188,-118.232529,207,211,247,155,820
Imperial & 7th,3037,34.034801,-118.231277,173,192,172,147,684
Wilshire & Witmer,3040,34.05357,-118.266357,267,191,221,139,818
1st & Central,3042,34.049301,-118.238808,482,440,551,405,"1,878"
18th & San Pedro,3045,34.028511,-118.256668,83,118,232,200,633
2nd & Hill,3046,34.052872,-118.24749,123,190,241,236,790
Pico & Flower,3047,34.039982,-118.266403,381,346,345,367,"1,439"
5th & Hewitt,3048,34.041691,-118.235352,241,158,219,200,818
2nd & Figueroa,3049,34.056969,-118.253593,283,226,232,194,935
7th & Bixel,3052,34.051102,-118.264557,637,392,425,399,"1,853"
Factory Place & Alameda,3054,34.039219,-118.236488,82,92,79,87,340
Grand & 14th,3056,34.03746,-118.265381,145,248,363,253,"1,009"
18th & Figueroa,3057,34.035679,-118.270813,105,69,104,135,413
Industrial St & Mateo St,3058,34.035801,-118.23317,110,133,104,119,466
3rd & San Pedro,3062,34.047749,-118.243172,206,228,320,257,"1,011"
Pershing Square,3063,34.048038,-118.253738,527,365,551,462,"1,905"
Grand & 8th,3064,34.046131,-118.257591,638,715,867,920,"3,140"
New High & Ord,3065,34.060558,-118.238327,118,116,156,75,465
